CREATEDORMIGRATEDTOEXISTING,VAHYDRO_HYDROID,VAHYDRO_NAME,VAHYDRO_ADDR1,VAHYDRO_CITY,CEDS_FAC_ID,CEDS_FAC_NAME,CEDS_FAC_M_ADDR1,CEDS_FAC_M_CITY,CEDS_FAC_L_ADDR1,CEDS_FAC_L_CITY,FACILITY_NAME_FORMATTING_ERROR,FACILITY_ADDRESS_FORMATTING_ERROR,OWS Staff Found CEDS Match (CEDS Facility ID),Updated VAHydro Facility Name/Address to Match,Comments
Created,67012,AEC Virginia,32056 East Circle,Boykins,,,,,,,,,,,
Created,67178,AL Mathews,"T. Lee Byrd & Sons, Inc.",Onancock,,,,,,,,"Address not properly formatted.",,,
Created,74466,ALTAVISTA POWER STATION,5000 DOMINION BLVD,GLEN ALLEN,,,,,,,,,,,
Created,72446,AMHERST (TOWN) WTP,PO BOX 280,AMHERST,,,,,,,Name has special characters.,,,,
Created,72578,AMHERST COUNTY SERVICE AREA - LANUM WTP,PO BOX 100,MADISON HEIGHTS,,,,,,,,,,,
Created,74367,APPALACHIA SERVICE AREA,PO BOX 112,APPALACHIA,,,,,,,,,,,Service Area should be created new in CEDS since it isnt in there already. 
Created,73537,APPALACHIA WTP,PO BOX 112,APPALACHIA,,,,,,,,,,,Needs to be mapped cause address is wrong. 
Migrated to Existing,67019,Accawmacke Ornamentals,22376 Front Street,Accomac,200000198544,Accawmacke Ornamentals,22376 Front Street,Accomac,,,,,,,
Created,67253,Accawmacke Plantation,RFD 1 Box 4,Cape Charles,,,,,,,,,,,
Created,67301,Accomack County Office Buildings Waterworks,23296 Courthouse Avenue,Accomac,,,,,,,,,,,
Created,410352,Achsah Acres,,Madison,,,,,,,,,,,
Created,66973,Acquinton Elementary School and Hmltn Holmes School,PO Box 185,King William,,,,,,,,,,,
Migrated to Existing,67078,Adams Ross,Route 1 Box 444 Mctempkin Road,Parksley,200000198430,Adams Ross,Route 1 Box 444 Mctempkin Road,Parksley,,,,,,,
Created,414953,Against the Wind Farm,,,,,,,,,,,,,
Created,67157,Agri-Business Industrial Park,Agri-Park-Southampton Co.,Courtland,,,,,,,,"Address not properly formatted.",,,
Created,67297,"Albert G. Horton, Jr. Memorial Veterans Cemetery",Lake Prince Drive,Suffolk,,,,,,,Name has special characters.,,,,
Migrated to Existing,66963,Alpha Water Company -Glendale Acres,PO Box 27186,Richmond,200000198627,Alpha Water Company Glendale Acres,PO Box 27186,Richmond,,,,,,,
Migrated to Existing,66931,Alpha Water Company -Windsor Park,PO Box 27186,Richmond,200000198628,Alpha Water Company Windsor Park,PO Box 27186,Richmond,,,,,,,
Created,67096,Alsco,PO Box 5513,Virginia Beach,,,,,,,,,,,
Created,400209,Amelia Quarry,12301 Patrick Henry Highway,Amelia Courthouse,,,,,,,,,,,
Created,66997,American Waste Industries Inc Incendere,508 East Indian River Road,Norfolk,,,,,,,,,,,
Created,67164,Ames Farm,"Del Monte Fresh Production, Inc.",Bloxom,,,,,,,,"Address not properly formatted.",,,
Created,67273,"Anheuser-Busch, Inc.",7801 Pocahontas Trail,Williamsburg,,,,,,,Name has special characters.,,,,
Created,452971,Anna Farm,24164 Mary Ann Smith Road,Accomac,,,,,,,,,,,
Created,460078,Appomattox River Water Supply,,,,,,,,,,,,,
Created,67686,"Arban & Carosi, Inc.",13800 Dawson Beach Road,Woodbridge,,,,,,,Name has special characters.,,,,
Created,67241,Arbor Meadows,213 Battery Park Road,Smithfield,,,,,,,,,,,
Created,67268,Ashby Subdivision Water System,PO Box 404,Smithfield,,,,,,,,,,,
Migrated to Existing,67203,Atlantic Waste Disposal,3474 Atlantic Ln,Waverly,200000071800,Atlantic Waste Disposal Inc,3474 Atlantic Ln,Waverly,3474 Atlantic Ln,Waverly,,,,,
Created,594925,Atlantic Waste Disposal Landfill,3474 Atlantic Lane,Waverly,,,,,,,,,,,
Created,72194,Austinville WTP,289 Kohler Avenue,Austinville,,,,,,,,,,,
Created,67093,Avondale Robin Ridge,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Created,90587,Aylett Sand and Gravel Facility,15700 Richmond Tappahannock Hwy.,St. Stephens,,,,,,,,"Address not properly formatted.",,,
Created,67228,BASF - Portsmouth Plant,3340 West Norfolk Road,Portsmouth,,,,,,,,,,,
Created,66882,BASF Corporation,8961 Pocahontas Trail,Williamsburg,,,,,,,,,,,
Created,74447,BATH COUNTY PUMPED STORAGE,316 POWER STATION RD,WARM SPRINGS,,,,,,,,,,,
Created,72672,BIG STONE GAP WTP,505 E 5TH STREET SOUTH,BIG STONE GAP,,,,,,,,,,,
Created,72535,BLAND CORRECTIONAL CENTER WTP,256 BLAND FARM ROAD,BLAND,,,,,,,,,,,
Created,73738,BOONSBORO COUNTRY CLUB,PO BOX 805,LYNCHBURG,,,,,,,,,,,
Created,74345,BROADWAY WTP,PO BOX 156,BROADWAY,,,,,,,,,,,
Created,73730,BUCKINGHAM COUNTY WTP,PO BOX 252,BUCKINGHAM,,,,,,,,,,,
Created,67035,Bailey Neck Farm,,,,,,,,,,,,,
Created,67124,Bailey Neck Farm,,,,,,,,,,,,,
Migrated to Existing,67312,Bain Brothers,16270 Pinopolis Road,Capron,200000198536,Bain Brothers,16261 Pinopolis Road,Capron,,,,,,,
Created,473581,Banty Shanty Poultry Farm,29246 Hallwood Rd.,Hallwood,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,66890,Barrett Learning Center,Route 651,Hanover,200000198477,Barrett Learning Center,Route 651,Hanover,,,,,,,
Migrated to Existing,66918,Barry D Knight Hog Farm,1852 Mill Landing Road,Virginia Beach,200000089806,Barry D Knight Hog Farm,1852 Mill Landing Road,Virginia Beach,1852 Mill Landing Road,Virginia Beach,,,,,
Created,67288,Battlefield Green Well System,PO Box 470,Hanover,,,,,,,,,,,
Created,66927,Bay Quarter Shores,43 Presley Creek Dr. (Well 19),Heathsville,,,,,,,,"Address not properly formatted.",,,
Created,485232,Bayport RV Resort,130 Scout Trail,Jamaica,,,,,,,,,,,
Created,66943,Bayshore Concrete Facility-Chesapeake,1134 Bayshore Road,Cape Charles,,,,,,,,,,,
Created,67166,Bayshore Concrete Products - Chesapeake,1134 Bayshore Road,Cape Charles,,,,,,,,,,,
Created,67275,Bayshore Concrete Products Corp Cape Charles,1134 Bayshore Road,Cape Charles,,,,,,,,,,,
Created,66885,Bayview Community,,,,,,,,,,,,,
Migrated to Existing,67177,Bayville Golf Club,4137 First Court Road,Virginia Beach,200000064112,Bayville Golf Club,,,4137 First Court Road,Virginia Beach,,,,,
Created,67318,Becks Water System,PO Box 404,Smithfield,,,,,,,,,,,
Migrated to Existing,67104,Beechwood Manor,PO Box 68,Prince George,200000198564,Beechwood Manor,PO Box 68,Prince George,,,,,,,
Created,66880,Belle Haven Country Club,6023 Fort Hunt Road,Alexandria,,,,,,,,,,,
Created,67678,Bells Cove Water System,near Callao,Callao,,,,,,,,,,,
Migrated to Existing,67382,Bellwood Reclamation Plant,1711 Reymet R-d,Richmond,200000198567,Bellwood Reclamation Plant,1711 Reymet Road,Richmond,,,,,,,
Migrated to Existing,72394,Belmont Country Club,43170 Gloucester Pkwy,Ashburn,200000201870,Belmont Country Club,43785 Harry Byrd Hwy,Ashburn,43785 Harry Byrd Hwy,Ashburn,,"Address not properly formatted.",,,
Created,67116,Belote Farm,PO Box 22,Capeville,,,,,,,,,,,
Created,477360,Ben-Gar Farms,1099 Goodrich Fork Rd. (facility address),Wakefield,,,,,,,,"Address not properly formatted.",,,
Created,66897,Bennetts Creek Wholesale Nursery,17497 Benns Church Blvd,Smithfield,,,,,,,,"Address not properly formatted.",,,
Created,67388,Berkley and Ebb Tide Beach Water System,Intersection of Rts 664 and 682 Lake Shore Dr,Oak Grove,,,,,,,,,,,
Created,66923,Best Western Steven Kent,12205 South Crater Road,Petersburg,,,,,,,,,,,
Created,67109,Bethel Church,T. Lee Byrd & Sons,Onancock,,,,,,,,"Address not properly formatted.",,,
Created,67186,Bethel Landfill,100 North Park Lane,Hampton,,,,,,,,,,,
Created,414968,Bethel Poultry Farm,,,,,,,,,,,,,
Migrated to Existing,90590,Bevans Oyster Company,1090 Skipjack Road,Kinsale,200000866893,Bevans Oyster Company Inc,,,1090 Skipjack Rd,Kinsale,,,,,
Migrated to Existing,67154,Bevans Oyster Company,1090 Skipjack Rd.,Kinsale,200000866893,Bevans Oyster Company Inc,,,1090 Skipjack Rd,Kinsale,,"Address not properly formatted.",,,
Created,66850,Bexley Mobile Home Park,7413 Allstate Drive,Petersburg,,,,,,,,,,,
Created,67414,Birch Island Apartments,10322 Panny Lane Rte 1,Wakefield,,,,,,,,"Address not properly formatted.",,,
Created,67174,Birchwood Power Facility,10900 Birchwood Dr.,King George,,,,,,,,"Address not properly formatted.",,,
Created,398669,Bismillah Farm,3475 Kelly Road,New Church,,,,,,,,,,,
Created,66902,Bleak Hall,off Rt. 664 near Oak Grove,Westmoreland,,,,,,,,"Address not properly formatted.",,,
Created,410326,Blessing Farm LLC,28227 Groton Town Road,Hallwood,,,,,,,,,,,
Created,193261,"Blue Ridge Fish Hatchery, Inc",655 Fish Farm Lane,Claudville,,,,,,,Name has special characters.,,,,
Created,71977,Blue Ridge Shadows Golf Club,456 Shadows Drive,Front Royal,,,,,,,,,,,
Created,67167,Blue Star Estates,PO Box 470,Hanover,,,,,,,,,,,
Created,67047,Bobtown Farm,P.O. Box 926,Exmore,,,,,,,,"Address not properly formatted.",,,
Created,67046,Bobtown Nursery,1514 17th Street NW Apt 104,Washington,,,,,,,,,,,
Created,71891,Botetourt Golf and Swim Club,PO BOX 31,FINCASTLE,,,,,,,,,,,
Created,67433,Bottoms Bridge,2676 Pocahontas Trail,Quinton,,,,,,,,,,,
Created,67293,Bow Creek Golf Course,3425 Club House Road,Virginia Beach,,,,,,,,,,,
Created,67372,Bowen Farm,"Kuzzens, Inc",Exmore,,,,,,,,"Address not properly formatted.",,,
Created,67679,Boy Scouts at Bayport Campground,130 Scout Trail,Jamaica,,,,,,,,,,,
Created,66970,Boykins Town of,PO Box 400,Courtland,,,,,,,,,,,
Created,67289,Bradley Acres,PO Box 27032,Richmond,,,,,,,,,,,
Migrated to Existing,67194,Branchville Boykins,24283 Old Bridge Road,Courtland,200000064282,Branchville Boykins,PO Box 400,Courtland,PO Box 400,Courtland,,,,,
Created,67102,Brandywine,PO Box 470,Hanover,,,,,,,,,,,
Created,67048,Brewers Creek Subdivision,State Rt 661 & Marsh View Court,Carrollton,,,,,,,,,,,
Created,72936,Brink Concentrator Site System,12472 ST JOHN CHURCH ROAD,STONY CREEK,,,,,,,,,,,
Created,415085,Brittany Farm,,,,,,,,,,,,,
Created,67292,Broaddus Farms,,,,,,,,,,,,,
Migrated to Existing,67387,Broadleaf Farms,Broadleaf Gardens Nursery,Onancock,200000198400,Broadleaf Farms,Broadleaf Gardens Nursery,Onancock,,,,,,,
Created,73613,Brookwood Manor,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Migrated to Existing,66986,Brown and Root -System A,RFD 1 Box 4,Cape Charles,200000198433,Brown and Root -System A,RFD 1 Box 4,Cape Charles,,,,,,,
Migrated to Existing,66870,Brown and Root -System B,RFD 1 Box 4,Cape Charles,200000198434,Brown and Root -System B,RFD 1 Box 4,Cape Charles,,,,,,,
Migrated to Existing,67064,Brown and Root -System C,RFD 1 Box 4,Cape Charles,200000198435,Brown and Root -System C,RFD 1 Box 4,Cape Charles,,,,,,,
Created,441813,Brown and Sons Poultry Farm #2,,,,,,,,,Name has special characters.,,,,
Created,410363,Browns Store,,Browns Store,,,,,,,,,,,
Created,450610,Brunswick County - Meherrin River Water Supply,Glendale Mill Road,Freeman,,,,,,,,,,,
Created,414952,Bui Farm (aka Fulushou),,,,,,,,,Name has special characters.,,,,
Created,67189,Bull Farm,"Del Monte Fresh Production, Inc.",Bloxom,,,,,,,,"Address not properly formatted.",,,
Created,67060,Burgess Public Water Supply,X of Northumberland & Jessie Dupont Mem Hwy,Burgess,,,,,,,,"Address not properly formatted.",,,
Created,67000,Burnside Farms Mayfield Ellerson,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Created,67400,Burris Residence at The Retreat,1720 Centennial Drive,Toano,,,,,,,,,,,
Created,66969,Burton Farm,PO Box 509,Accomac,,,,,,,,,,,
Created,67322,Busch Gardens Williamsburg Operations Dept,One Busch Gardens Boulevard,Williamsburg,,,,,,,,,,,
Created,67697,Bush Park Camping Resort,724 Bushy Park Rd.,Deltaville,,,,,,,,"Address not properly formatted.",,,
Created,67684,Bush Park Mobile Home Park,P.O. Box 115,Hartfield,,,,,,,,"Address not properly formatted.",,,
Created,67419,Byrd Farm,,,,,,,,,,,,,
Migrated to Existing,67028,C and H Farms Incorporated,PO Box 81,Eastville,200000198398,C and H Farms Incorporated,,Eastville,,,,,,,
Created,415100,C&C Farm,,,,,,,,,Name has special characters.,,,,
Created,73310,CHATHAM WTP,16 Court Place,CHATHAM,,,,,,,,,,,
Created,73394,CHATMOSS COUNTRY CLUB,PO BOX 5063,MARTINSVILLE,,,,,,,,,,,
Migrated to Existing,67373,CL Byrd,Cropperville,Accomac,200000198449,CL Byrd,Cropperville,Accomac,,,,,,,
Created,67214,CL Obrey,PO Box 80,Isle of Wight,,,,,,,,,,,
Created,72587,CLAYTOR LAKE HYDROPOWER PLANT,PO BOX 2021,ROANOKE,,,,,,,,,,,
Created,72603,CLAYTOR LAKE WTP,143 THIRD STREET NW,PULASKI,,,,,,,,,,,
Created,71807,CLOVER POWER PLANT,5000 Dominion Blvd,Glen Allen,,,,,,,,"Address not properly formatted.",,,
Created,72245,CLOVERLAND,1215 James Madison Hwy,Haymarket,,,,,,,,"Address not properly formatted.",,,
Created,71999,CONCORD CONCENTRATOR SITE,12472 ST JOHN CHURCH ROAD,STONY CREEK,,,,,,,,,,,
Migrated to Existing,432280,CRCC Roaring Fork Water Withdrawal,P.O. Drawer 109,Appalachia,200000854925,CRCC Roaring Fork Water Withdrawal,PO Drawer 109,Appalachia,Pine Branch Road,Dunbar,,"Address not properly formatted.",,,
Created,74321,CROZET WTP,695 MOORE'S CREEK LANE,CHARLOTTESVILLE,,,,,,,,,,,
Created,74071,CUSHAW HYDROPOWER PLANT,Cushaw Hydro LLC,Coleman Falls,,,,,,,,,,,
Created,67125,CW Reeson Boxwood Nursery,8263 Colonial Trail West,Spring Grove,,,,,,,,,,,
Created,67059,Cabin Point & Glebe Harbor,"off Rt. 626, Machodoc Neck near Montross",Westmoreland,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Migrated to Existing,67422,Cahoon Plantation,1501 Cahoon Parkway,Chesapeake,200000064367,Cahoon Plantation,,,Cedar Rd and Country Club Blvd,Chesapeake,,,,,
Created,414915,Calabria Poultry Farm,Bullbeggar Road,Bullbeggar,,,,,,,,,,,
Created,67321,Callao Public Water System,Intersection of Northumberland Hwy & Richmond,Callao,,,,,,,,"Address not properly formatted.",,,
Created,67299,Cameron Hills Golf Links,14140 Salem Church Rd.,King George,,,,,,,,"Address not properly formatted.",,,
Created,67145,Camp Farm,28303 Smithsferry Rd.,Franklin,,,,,,,,"Address not properly formatted.",,,
Created,67243,Campostella Ready Mix Plant,2125 Kimball Terrace,Norfolk,,,,,,,,,,,
Created,67300,Camptown Development Service District,,,,,,,,,,,,,
Created,74461,Cannon Ridge Golf Club,9000 Celebrate Virginia Parkway,Fredericksburg,,,,,,,,,,,
Created,67687,Canterbury Subdivision CWS,Kent Road (North),King George,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,66906,Cape Charles Municipal Corporation,2 Plum Street,Cape Charles,200000064387,Cape Charles Municipal Corporation,Plum and Masons Streets,Cape Charles,Plum and Masons Streets,Cape Charles,,,,,
Created,67032,Capital Concrete Inc Stapleton Street Plant,PO Box 1137,Norfolk,,,,,,,,,,,
Migrated to Existing,67270,Capron Town of,PO Box 248,Capron,200000090819,Capron Town of,PO Box 162,Capron,PO Box 162,Capron,,,,,
Created,67257,"Captain's Cove Utility Company, Inc.",2512 Captain's Corridor,Greenbackville,,,,,,,Name has special characters.,,,,
Created,67255,Cardinal Golf Course at Fort Lee,1816 Shop Road,Fort Lee,,,,,,,,,,,
Created,67138,Caroline Correction Unit #2,31285 Camp Road,Hanover,,,,,,,Name has special characters.,,,,
Created,594208,Caroline County Rappahannock River Intake,,,,,,,,,,,,,
Created,67399,Caroline Detention Center,11093 SW Lewis Memorial Drive,Bowling Green,,,,,,,,,,,
Created,67213,Carrsville Water System,PO Box 80,Isle of Wight,,,,,,,,,,,
Created,67250,Cascades,PO Box 1776,Williamsburg,,,,,,,,,,,
Created,410368,Catalpa,,,,,,,,,,,,,
Migrated to Existing,67160,Cavalier Golf and Yacht Club,1052 Cardinal Road,Virginia Beach,200000099300,Cavalier Golf and Yacht Club,1052 Cardinal Rd,Virginia Beach,1001 Cardinal Rd,Virginia Beach,,,,,
Created,67452,Cedar Crest Subdivision,1789 Manfield Road,Manquin,,,,,,,,,,,
Migrated to Existing,67169,Cedar Point Club Incorporated,PO Box 6138,Suffolk,200000064451,Cedar Point Club Incorporated,PO Box 6138,Suffolk,8056 Clubhouse Dr,Suffolk,,,,,
Created,66984,Cedar Point Well,PO Box 737,Suffolk,,,,,,,,,,,
Created,67685,Cedar Pointe,Poynt Landi Road,Urbanna,,,,,,,,,,,
Created,402138,Cedar Ridge Mobile Home Park,1005 Sophia St.,fredricksburg,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67338,Cedarwood Subdivision Water System,1020 East Washington Street,Petersburg,200000198459,Cedarwood Subdivision Water System,1020 East Washington St,Petersburg,,Prince George County,,,,,
Created,67156,Central Accomack Water Supply,,,,,,,,,,,,,
Created,67454,Chappell Creek on the James,Chappell Pond Crossing,Prince George,,,,,,,,,,,
Created,427967,Charles City County Combined Cycle Combustion Turbine Power Plant (C4GT),,,,,,,,,Name has special characters.,,,,
Created,67383,Charles City County School Complex,10045 Courthouse Road,Charles City,,,,,,,,,,,
Created,67188,Charles Hurst,20305 Greenbush Road,Parksley,,,,,,,,,,,
Created,398653,Chattha Livestock Poultry Farm,,,,,,,,,,,,,
Created,67413,Cheapside Farm Incorporated,3119 Picketts Harbor Road,Cape Charles,,,,,,,,,,,
Created,67206,Cherrydale,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Created,67152,Cherrystone Family Camping Resort,PO Box 545,Cheriton,,,,,,,,,,,
Created,67423,Chesapeake Bay Estates,Fletcher Drive & Washington Drive,Reedsville,,,,,,,,,,,
Created,67143,Chesapeake Cove,near Edwardsville,Montross,,,,,,,,,,,
Migrated to Existing,67148,Chesapeake Golf Club,1201 Club House Drive,Chesapeake,200000064504,Chesapeake Golf Club,1201 Club House Drive,Chesapeake,1201 Club House Drive,Chesapeake,,,,,
Created,67354,Chesapeake Parks and Recreation Jubilee,PO Box 15225,Chesapeake,,,,,,,,,,,
Created,73773,Chesdin Reservoir WTP,21300 Chesdin Rd.,Petersburg,,,,,,,,"Address not properly formatted.",,,
Created,441297,Chickahominy Power Plant ,Chambers Road,Charles City County,,,,,,,,,,,
Created,66877,Chickahominy Power Water Well System,6075 Chambers Road,Charles City,,,,,,,,,,,
Created,90581,Chickahominy Riverfront Park ,1350 John Tyler Hwy,Williamsburg,,,,,,,,"Address not properly formatted.",,,
Created,398693,Chicken Bacon Ranch (former K&D Farm),10101 Jerusalem Rd,Temperanceville,,,,,,,Name has special characters.,,,,
Migrated to Existing,67083,Chincoteague Town of,4026 Main Street,Chincoteague,200000090859,Chincoteague Town of,6150 Community Dr,Chincoteague,6150 Community Dr,Chincoteague,,,,,
Created,67248,Chippokes Plantation State Park,695 Chippokes Park Road,Surry,,,,,,,,,,,
Migrated to Existing,67172,Christchurch School,End of Rt 713 & North of Rt. 33,Christchurch,200000864931,Christchurch School,,,Near the Intersection of State Rt. 33 & State Rt. ,Christchurch,,"Address not properly formatted.",,,
Created,67431,Christian/Ames Farm,Kuzzens Inc.,Exmore,,,,,,,Name has special characters.,"Address not properly formatted.",,,
Created,436595,Christopher Newport University Athletic Fields,One Avenue of the Arts,Newport News,,,,,,,,,,,
Migrated to Existing,67393,Churchill Downs Horse Racing Facility,Dam Neck and Harper Roads,Virginia Beach,200000096912,Churchill Downs Horse Racing Facility,,,Dam Neck,Virginia Beach,,,,,
Created,67358,"Cintas, Portsmouth #391",2707 Smithfield Road,Portsmouth,,,,,,,Name has special characters.,,,,
Created,66950,Circle Community Water System,11065 Carleton Drive,King George,,,,,,,,,,,
Created,67426,City of Suffolk Main System,442 West Washington Street,Suffolk,,,,,,,,,,,
Migrated to Existing,67011,Claremont Town of Water System,PO Box 310,Claremont,200000198465,Claremont Town of Water System,PO Box 223,Claremont,,,,,,,
Created,67329,"Clayton Whispering Winds Mobile Home Estates, LLC",7100 Whispering Winds Drive,Prince George,,,,,,,Name has special characters.,,,,
Created,66976,Clydes Dale Mobile Home Park,100 Clydes Dale Lane,Windsor,,,,,,,,,,,
Created,395731,Cobbs Creek Reservoir,,,,,,,,,,,,,
Created,394857,Cobbs Creek Reservoir temporary construction withdrawal,,,,,,,,,,,,,
Migrated to Existing,67205,College of William and Mary,Dillard Complex,Williamsburg,200000067729,College of William and Mary,Department of Facilities Management,Williamsburg,110 Grigsby Dr,Williamsburg,,,,,
Created,66992,"Colonial Beach, Town of",Rt 205,Colonial Beach,,,,,,,Name has special characters.,,,,
Created,67237,Colonial Court Eastover National Heights,PO Box 27186,Richmond,,,,,,,,,,,
Created,67018,Colonial Downs Public Water System,PO Box 1700,West Point,,,,,,,,,,,
Created,67451,Colonial Forest,2414 Granite Ridge Road,Rockville,,,,,,,,,,,
Created,67132,Colonial Williamsburg,PO Box 1776,Williamsburg,,,,,,,,,,,
Migrated to Existing,67310,Colonial Williamsburg -Goodwin Building,PO Box 1776,Williamsburg,200000198467,Colonial Williamsburg -Goodwin Building,PO Box 1776,Williamsburg,,,,,,,
Migrated to Existing,67202,Colonial Williamsburg -Laundry,PO Box 1776,Williamsburg,200000065889,Colonial Williamsburg Fdn Laundry,PO Box 1776,Williamsburg,150 Lafayette St,Williamsburg,,,,,
Migrated to Existing,66920,Colonial Williamsburg -New Golf Course,PO Box 1776,Williamsburg,200000064635,Colonial Williamsburg New Golf Course,PO Box 1776,Williamsburg,PO Box 1776,Williamsburg,,,,,
Created,66886,Colonies,PO Box 50,New Kent,,,,,,,,,,,
Created,67430,Combined Skimino Banbury and Lightfoot Systems,Newport News Waterworks,Yorktown,,,,,,,,,,,
Migrated to Existing,67272,Commonwealth Chesapeake Power Station,3415 White Oak Way,New Church,200000064650,Commonwealth Chesapeake Power Station,1044 N 115th St Ste 400,Omaha,3415 White Oak Way,New Church,,,,,
Created,398657,Contrell Brown and Son Farm,,,,,,,,,,,,,
Created,410373,Corbin Lewis,,,,,,,,,,,,,
Created,67262,Corrotoman by the Bay Water System,Rt. 624 E of Rt. 354 & N. of Mollusk Post Off,Warsaw,,,,,,,,"Address not properly formatted.",,,
Created,67067,Coteca Farm,,,,,,,,,,,,,
Created,67107,Courthouse CWS,"Rt. 3 & 206, Rt. 3 & 205 and Rt. 206 & 610",King George,,,,,,,,"Address not properly formatted.",,,
Migrated to Existing,67407,Courtland Town of,PO Box 39,Courtland,200000090907,Courtland Town of,PO Box 39,Courtland,PO Box 39,Courtland,,,,,
Created,379804,Cranston's Mill Pond,6616 Cranston's Mill Pond Road,Toano,,,,,,,,,,,
Created,67159,Cropperville Farm,PO Box 597,Accomac,,,,,,,,,,,
Created,410378,Crossroads,,,,,,,,,,,,,
Migrated to Existing,67210,Cubberley Farms,5430 Sunnyside Road,Cape Charles,200000198578,Cubberley Farms,5430 Sunnyside Road,Cape Charles,,,,,,,
Created,437690,Cumberland County Water System,PO Box 110,Cumberland,,,,,,,,,,,
Created,67144,Custis Farm,Seaside Road,,,,,,,,,,,,
Created,428194,Cutalong Golf Club,978 New Bridge Rd,Mineral,,,,,,,,,,,
Migrated to Existing,67274,Cypress Point Country Club,5340 Club Head Road,Virginia Beach,200000198471,Cypress Point Country Club,5340 Club Head Road,Virginia Beach,,,,,,,
Created,67334,Dahlgren Base,18329 Thompson Road,Dahlgren,,,,,,,,,,,
Created,67370,Dahlgren CWS,Rt. 301 and Rt. 206 NE,Dahlgren,,,,,,,,"Address not properly formatted.",,,
Created,67690,Daingerfield,E. of Tappahannock on Daingerfield St.,Essex,,,,,,,,"Address not properly formatted.",,,
Created,67176,David Salmons,557 Princess Anne Road,Virginia Beach,,,,,,,,,,,
Created,66934,David Van Dessel Farm,25370 Dennis Drive,Parksley,,,,,,,,,,,
Migrated to Existing,67316,David's Nursery,PO Box 926,Exmore,200000064801,Davids Nursery,PO Box 926,Exmore,Rte 183,Exmore,,,,,
Migrated to Existing,66995,Davis Farm,18710 Wakefield Road,Courtland,200000198474,Davis Farm,18710 Wakefield Road,Courtland,,,,,,,
Created,414964,Davis Wharf Farm,3511 Davis Wharf Road,Belle Haven,,,,,,,,,,,
Created,67029,Days Inn - Restaurant Water System,12208 South Crater Road,Petersburg,,,,,,,,,,,
Created,67192,Days Point,PO Box 80,Isle of Wight,,,,,,,,,,,
