"Date","Flow","Flow2","bg_fry","bg_juv","bg_adult","cc_fry","cc_juv","cc_spawn","cc_adult","gd_juv","gd_spawn","gd_adult","gs_fry","gs_juv","gs_spawn","gs_adult","smb_fry","smb_juv","smb_spawn","smb_inc","smb_adult","ws_fry","ws_juv","ws_spawn","ws_adult","month"
"X18968.8405346596",1930-01-01,18968.8405346596,18390.2625346596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X16087.4976686354",1930-01-02,16087.4976686354,15508.9196686354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X14286.6583773702",1930-01-03,14286.6583773702,13708.0803773702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X13206.1548026111",1930-01-04,13206.1548026111,12627.5768026111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X12365.7631333541",1930-01-05,12365.7631333541,11787.1851333541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X11573.3938451974",1930-01-06,11573.3938451974,10994.8158451974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X10300.8007460367",1930-01-07,10300.8007460367,9722.22274603668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X9568.45943425552",1930-01-08,9568.45943425552,8989.88143425552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X9076.23002797638",1930-01-09,9076.23002797638,8497.65202797638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X9076.23002797638.1",1930-01-10,9076.23002797638,8497.65202797638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X8355.89431147031",1930-01-11,8355.89431147031,7777.31631147031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X7875.67050046627",1930-01-12,7875.67050046627,7297.09250046627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X7647.56419023935",1930-01-13,7647.56419023935,7068.98619023935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X6939.23406900839",1930-01-14,6939.23406900839,6360.65606900839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X7875.67050046627.1",1930-01-15,7875.67050046627,7297.09250046627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X8115.78240596829",1930-01-16,8115.78240596829,7537.20440596829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X7419.45788001243",1930-01-17,7419.45788001243,6840.87988001244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X7179.34597451041",1930-01-18,7179.34597451041,6600.76797451041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X6711.12775878147",1930-01-19,6711.12775878147,6132.54975878147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5726.66894622319",1930-01-20,5726.66894622319,5148.09094622319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5078.36680136773",1930-01-21,5078.36680136773,4499.78880136773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5546.58501709667",1930-01-22,5546.58501709667,4968.00701709667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5810.7081131489",1930-01-23,5810.7081131489,5232.1301131489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5210.42834939385",1930-01-24,5210.42834939385,4631.85034939385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5294.46751631955",1930-01-25,5294.46751631955,4715.88951631955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5294.46751631955.1",1930-01-26,5294.46751631955,4715.88951631955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5726.66894622319.1",1930-01-27,5726.66894622319,5148.09094622319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5042.35001554243",1930-01-28,5042.35001554243,4463.77201554243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X5162.40596829344",1930-01-29,5162.40596829344,4583.82796829344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X4994.32763444203",1930-01-30,4994.32763444203,4415.74963444203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X4550.12060926329",1930-01-31,4550.12060926329,3971.54260926329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jan"
"X4478.08703761268",1930-02-01,4478.08703761268,3956.74803761268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X4754.21572894001",1930-02-02,4754.21572894001,4232.87672894001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X5462.54585017097",1930-02-03,5462.54585017097,4941.20685017097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X6483.02144855455",1930-02-04,6483.02144855455,5961.68244855455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X12245.707180603",1930-02-05,12245.707180603,11724.368180603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X25331.8060304632",1930-02-06,25331.8060304632,24810.4670304632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X25331.8060304632.1",1930-02-07,25331.8060304632,24810.4670304632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X19689.1762511657",1930-02-08,19689.1762511657,19167.8372511657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X16087.4976686354.1",1930-02-09,16087.4976686354,15566.1586686354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X13806.4345663662",1930-02-10,13806.4345663662,13285.0955663662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X12125.651227852",1930-02-11,12125.651227852,11604.312227852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X10805.0357475909",1930-02-12,10805.0357475909,10283.6967475909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X10300.8007460367.1",1930-02-13,10300.8007460367,9779.46174603668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X10300.8007460367.2",1930-02-14,10300.8007460367,9779.46174603668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X10300.8007460367.3",1930-02-15,10300.8007460367,9779.46174603668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X10300.8007460367.4",1930-02-16,10300.8007460367,9779.46174603668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X9568.45943425552.1",1930-02-17,9568.45943425552,9047.12043425552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X8355.89431147031.1",1930-02-18,8355.89431147031,7834.55531147031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X8596.00621697234",1930-02-19,8596.00621697234,8074.66721697234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X8355.89431147031.2",1930-02-20,8355.89431147031,7834.55531147031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X8355.89431147031.3",1930-02-21,8355.89431147031,7834.55531147031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X8115.78240596829.1",1930-02-22,8115.78240596829,7594.44340596829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X8115.78240596829.2",1930-02-23,8115.78240596829,7594.44340596829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X7875.67050046627.2",1930-02-24,7875.67050046627,7354.33150046627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X7419.45788001243.1",1930-02-25,7419.45788001243,6898.11888001243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X8355.89431147031.4",1930-02-26,8355.89431147031,7834.55531147031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X10060.6888405347",1930-02-27,10060.6888405347,9539.34984053466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X10552.9182468138",1930-02-28,10552.9182468138,10031.5792468138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Feb"
"X9568.45943425552.2",1930-03-01,9568.45943425552,9044.02643425552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mar"
"X9568.45943425552.3",1930-03-02,9568.45943425552,9044.02643425552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mar"
"X8836.11812247436",1930-03-03,8836.11812247436,8311.68512247436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mar"
"X8115.78240596829.3",1930-03-04,8115.78240596829,7591.34940596829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mar"
"X7647.56419023935.1",1930-03-05,7647.56419023935,7123.13119023935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mar"
