thisdate,wssc_pot,wa_gf,wa_lf,fw_pot,rville,up_cu
1/1/1990,125,166,1,45,5,40
2/1/1990,118,160,9,47,5,41
3/1/1990,120,150,25,46,5,40
4/1/1990,131,155,24,51,5,47
5/1/1990,140,187,6,53,5,57
6/1/1990,154,188,20,60,5,78
7/1/1990,149,190,33,58,5,86
8/1/1990,140,191,22,37,5,86
9/1/1990,138,188,19,47,5,71
10/1/1990,134,183,13,50,5,55
11/1/1990,122,172,10,49,5,47
12/1/1990,114,171,0,49,5,42
1/1/1991,109,161,10,44,5,40
2/1/1991,105,158,4,44,5,41
3/1/1991,106,170,0,47,5,40
4/1/1991,106,154,26,45,5,48
5/1/1991,132,185,15,52,5,58
6/1/1991,145,188,34,64,5,79
7/1/1991,155,190,38,66,5,87
8/1/1991,159,180,45,73,5,88
9/1/1991,149,177,37,64,5,72
10/1/1991,137,175,20,46,5,56
11/1/1991,130,180,8,44,5,48
12/1/1991,127,176,2,50,5,43
1/1/1992,127,177,5,48,5,41
2/1/1992,122,174,0,49,5,42
3/1/1992,125,152,19,50,5,41
4/1/1992,101,154,21,53,5,49
5/1/1992,108,171,4,53,5,59
6/1/1992,117,181,5,55,5,81
7/1/1992,132,180,26,59,5,88
8/1/1992,120,181,14,55,5,89
9/1/1992,117,183,6,55,5,73
10/1/1992,104,174,3,53,5,57
11/1/1992,97,159,12,50,5,49
12/1/1992,91,157,4,51,5,43
1/1/1993,88,147,13,51,5,42
2/1/1993,89,156,0,50,5,43
3/1/1993,89,161,0,46,5,42
4/1/1993,92,170,1,23,5,50
5/1/1993,104,180,0,56,5,60
6/1/1993,125,177,17,61,5,82
7/1/1993,151,174,48,70,5,90
8/1/1993,132,186,23,69,5,91
9/1/1993,118,186,13,59,5,74
10/1/1993,102,176,0,56,5,57
11/1/1993,112,159,1,51,5,50
12/1/1993,94,156,4,49,5,44
1/1/1994,123,173,20,50,5,42
2/1/1994,100,177,3,44,5,43
3/1/1994,96,173,0,42,5,42
4/1/1994,115,162,16,49,5,50
5/1/1994,123,167,15,59,5,61
6/1/1994,148,173,43,81,5,83
7/1/1994,133,172,42,76,5,91
8/1/1994,117,174,29,70,5,92
9/1/1994,119,162,37,63,5,75
10/1/1994,110,173,14,56,5,58
11/1/1994,109,175,4,46,5,50
12/1/1994,110,166,2,51,5,45
1/1/1995,105,135,36,65,5,43
2/1/1995,95,169,2,62,5,44
3/1/1995,100,168,0,60,5,43
4/1/1995,108,170,2,74,5,51
5/1/1995,134,173,1,74,5,62
6/1/1995,128,182,12,78,5,85
7/1/1995,141,181,29,84,5,93
8/1/1995,157,187,36,97,5,93
9/1/1995,141,184,24,86,5,76
10/1/1995,118,184,6,66,5,59
11/1/1995,112,178,0,56,5,51
12/1/1995,109,180,0,57,5,46
1/1/1996,120,171,10,58,5,44
2/1/1996,114,170,8,57,5,45
3/1/1996,106,165,12,59,5,44
4/1/1996,115,167,13,65,5,52
5/1/1996,117,181,2,63,5,63
6/1/1996,128,181,13,71,5,86
7/1/1996,123,177,20,69,5,94
8/1/1996,125,157,39,66,5,95
9/1/1996,119,175,13,66,5,78
10/1/1996,113,181,1,67,5,60
11/1/1996,106,172,1,54,5,52
12/1/1996,102,171,2,55,5,46
1/1/1997,108,173,2,60,5,44
2/1/1997,106,174,0,56,5,45
3/1/1997,105,168,0,56,5,44
4/1/1997,113,171,1,59,5,53
5/1/1997,123,166,6,79,5,64
6/1/1997,131,157,31,79,5,87
7/1/1997,147,152,60,100,5,95
8/1/1997,137,164,41,93,5,96
9/1/1997,111,172,18,76,5,79
10/1/1997,105,138,39,69,5,61
11/1/1997,99,68,98,65,5,53
12/1/1997,103,84,74,60,5,47
1/1/1998,101,89,70,58,5,45
2/1/1998,93,87,67,61,5,46
3/1/1998,99,100,61,63,5,45
4/1/1998,100,87,79,68,5,54
5/1/1998,110,84,86,73,5,65
6/1/1998,117,81,107,78,5,88
7/1/1998,132,75,122,89,5,97
8/1/1998,135,74,132,100,5,98
9/1/1998,133,78,133,95,5,80
10/1/1998,106,78,111,76,5,62
11/1/1998,113,79,99,74,5,54
12/1/1998,123,84,89,75,5,48
1/1/1999,117,131,51,70,5,46
2/1/1999,117,128,43,66,5,47
3/1/1999,118,170,0,65,5,46
4/1/1999,128,170,0,71,5,54
5/1/1999,161,177,4,84,5,66
6/1/1999,180,173,32,101,5,90
7/1/1999,170,165,57,105,5,98
8/1/1999,145,144,62,95,5,99
9/1/1999,115,167,16,64,5,81
10/1/1999,102,170,6,68,5,63
11/1/1999,109,167,1,62,5,54
12/1/1999,109,156,9,67,5,48
1/1/2000,108,166,0,63,5,46
2/1/2000,101,168,0,65,5,47
3/1/2000,93,163,0,66,5,46
4/1/2000,95,143,24,68,5,55
5/1/2000,120,172,5,85,5,67
6/1/2000,124,167,19,86,5,91
7/1/2000,124,188,5,85,5,100
8/1/2000,120,189,6,81,5,101
9/1/2000,116,118,68,81,5,82
10/1/2000,111,102,79,83,5,64
11/1/2000,105,99,69,76,5,55
12/1/2000,110,102,63,72,5,49
1/1/2001,118,104,60,72,5,47
2/1/2001,124,95,62,65,5,48
3/1/2001,118,105,55,67,5,47
4/1/2001,126,107,62,75,5,56
5/1/2001,132,112,80,84,5,67
6/1/2001,131,108,88,84,5,92
7/1/2001,127,103,93,85,5,101
8/1/2001,128,107,91,87,5,102
9/1/2001,131,113,78,85,5,83
10/1/2001,120,108,71,81,5,65
11/1/2001,114,108,71,80,5,56
12/1/2001,109,162,2,67,5,50
1/1/2002,110,168,0,67,5,48
2/1/2002,106,105,57,67,5,49
3/1/2002,111,91,70,68,5,48
4/1/2002,137,170,0,76,5,57
5/1/2002,144,170,0,79,5,68
6/1/2002,161,186,7,98,5,94
7/1/2002,169,177,31,112,5,103
8/1/2002,164,161,55,118,5,104
9/1/2002,144,151,41,97,5,85
10/1/2002,136,174,0,88,5,66
11/1/2002,132,157,1,80,5,57
12/1/2002,121,154,1,80,5,50
1/1/2003,118,152,7,80,5,48
2/1/2003,117,156,0,76,5,49
3/1/2003,115,141,11,78,5,48
4/1/2003,116,155,0,80,5,57
5/1/2003,120,155,0,80,5,69
6/1/2003,121,165,0,81,5,95
7/1/2003,124,180,0,91,5,104
8/1/2003,128,178,1,91,5,105
9/1/2003,139,164,7,82,5,86
10/1/2003,145,163,3,80,5,67
11/1/2003,122,164,0,76,5,57
12/1/2003,123,159,0,75,5,51
1/1/2004,128,138,29,75,5,49
2/1/2004,126,134,33,75,5,50
3/1/2004,114,159,2,75,5,49
4/1/2004,120,163,0,82,5,58
5/1/2004,139,172,0,94,5,70
6/1/2004,132,177,1,92,5,96
7/1/2004,136,183,9,97,5,105
8/1/2004,135,181,11,95,5,106
9/1/2004,133,185,1,89,5,87
10/1/2004,122,173,0,85,5,68
11/1/2004,116,156,0,78,5,58
12/1/2004,118,155,0,78,5,52
1/1/2005,119,152,2,79,5,50
2/1/2005,110,159,0,75,5,51
3/1/2005,112,146,2,77,5,50
4/1/2005,113,148,8,89,5,59
5/1/2005,127,153,0,93,5,71
6/1/2005,137,176,0,113,5,98
7/1/2005,132,183,4,109,5,107
8/1/2005,140,176,4,119,5,108
9/1/2005,142,158,23,130,5,88
10/1/2005,123,158,2,102,5,68
11/1/2005,114,155,0,86,5,59
12/1/2005,109,154,0,83,5,53
1/1/2006,100,143,0,82,5,50
2/1/2006,98,128,21,75,5,51
3/1/2006,100,151,0,77,5,50
4/1/2006,106,152,0,88,5,60
5/1/2006,114,156,1,93,5,72
6/1/2006,126,166,3,101,5,99
7/1/2006,135,176,6,107,5,108
8/1/2006,146,189,3,114,5,109
9/1/2006,114,159,0,86,5,89
10/1/2006,117,154,0,78,5,69
11/1/2006,96,144,7,66,5,60
12/1/2006,94,144,4,68,5,53
1/1/2007,92,136,1,68,5,51
2/1/2007,106,158,2,66,5,52
3/1/2007,104,148,2,64,5,51
4/1/2007,118,149,1,71,5,61
5/1/2007,136,167,3,98,5,73
6/1/2007,131,181,4,105,5,100
7/1/2007,146,184,8,117,5,110
8/1/2007,134,183,9,122,5,111
9/1/2007,156,176,1,128,5,90
10/1/2007,157,166,4,123,5,70
11/1/2007,138,151,1,83,5,61
12/1/2007,149,145,0,67,5,54
1/1/2008,133,150,0,66,5,52
2/1/2008,105,146,0,63,5,53
3/1/2008,99,144,0,62,5,52
4/1/2008,98,146,0,70,5,61
5/1/2008,102,153,0,83,5,74
6/1/2008,116,166,3,101,5,101
7/1/2008,118,182,2,110,5,111
8/1/2008,126,177,2,122,5,112
9/1/2008,118,168,0,98,5,92
10/1/2008,108,156,0,90,5,71
11/1/2008,109,146,0,74,5,61
12/1/2008,117,150,0,71,5,55
1/1/2009,115,159,0,74,5,52
2/1/2009,119,149,0,69,5,53
3/1/2009,128,142,3,69,5,52
4/1/2009,125,150,0,77,5,62
5/1/2009,126,155,2,81,5,75
6/1/2009,110,161,6,83,5,103
7/1/2009,126,180,1,120,5,113
8/1/2009,123,185,2,108,5,114
9/1/2009,111,164,0,101,5,93
10/1/2009,106,154,0,89,5,72
11/1/2009,100,141,3,77,5,62
12/1/2009,102,140,0,76,5,55
1/1/2010,110,146,1,78,5,53
2/1/2010,115,145,5,76,5,54
3/1/2010,110,135,9,73,5,53
4/1/2010,120,147,1,88,5,63
5/1/2010,121,151,3,101,5,76
6/1/2010,133,169,5,121,5,104
7/1/2010,137,172,12,130,5,114
8/1/2010,146,163,4,117,5,115
9/1/2010,154,140,26,121,5,94
10/1/2010,115,144,5,85,5,73
11/1/2010,107,140,2,72,5,63
12/1/2010,108,138,7,74,5,56
1/1/2011,107,144,0,72,5,53
2/1/2011,108,141,0,71,5,54
3/1/2011,105,134,0,71,5,53
4/1/2011,120,129,8,77,5,64
5/1/2011,125,143,1,87,5,77
6/1/2011,128,162,0,121,5,105
7/1/2011,137,154,18,133,5,115
8/1/2011,125,147,21,115,5,116
9/1/2011,120,154,0,91,5,95
10/1/2011,99,134,0,80,5,74
11/1/2011,101,131,0,70,5,63
12/1/2011,92,129,0,67,5,56
1/1/2012,96,130,2,69,5,54
2/1/2012,92,128,0,63,5,55
3/1/2012,99,124,8,70,5,54
4/1/2012,105,129,7,83,5,64
5/1/2012,109,135,0,93,5,77
6/1/2012,122,145,2,114,5,106
7/1/2012,133,158,2,130,5,116
8/1/2012,120,157,1,113,5,117
9/1/2012,109,144,0,99,5,96
10/1/2012,106,125,5,81,5,74
11/1/2012,114,128,4,67,5,64
12/1/2012,116,118,0,65,5,57
1/1/2013,114,124,0,68,5,54
2/1/2013,107,126,0,66,5,55
3/1/2013,100,123,0,65,5,54
4/1/2013,99,109,18,76,5,65
5/1/2013,108,135,0,88,5,78
6/1/2013,116,140,3,95,5,107
7/1/2013,120,151,0,104,5,117
8/1/2013,117,145,0,102,5,118
9/1/2013,119,144,0,107,5,97
10/1/2013,112,131,0,91,5,75
11/1/2013,113,128,0,76,5,64
12/1/2013,105,123,0,73,5,57
1/1/2014,113,133,2,80,5,55
2/1/2014,107,131,1,80,5,56
3/1/2014,103,125,2,81,5,55
4/1/2014,101,130,0,84,5,65
5/1/2014,110,126,10,95,5,79
6/1/2014,117,143,0,108,5,108
7/1/2014,122,148,1,113,5,118
8/1/2014,113,140,0,109,5,119
9/1/2014,115,139,3,103,5,97
10/1/2014,109,134,0,76,5,75
11/1/2014,106,122,0,77,5,65
12/1/2014,102,125,0,70,5,58
1/1/2015,105,127,0,73,5,55
2/1/2015,112,132,2,76,5,56
3/1/2015,108,128,1,73,5,55
4/1/2015,112,131,0,76,5,66
5/1/2015,120,135,0,99,5,80
6/1/2015,120,148,0,97,5,109
7/1/2015,121,151,0,100,5,119
8/1/2015,122,153,0,116,5,120
9/1/2015,125,157,0,113,5,98
10/1/2015,120,138,0,87,5,76
11/1/2015,117,129,0,80,5,65
12/1/2015,109,119,0,78,5,58
1/1/2016,99,122,0,79,5,56
2/1/2016,100,129,0,79,5,57
3/1/2016,109,126,0,80,5,56
4/1/2016,109,127,4,90,5,66
5/1/2016,110,128,0,90,5,80
6/1/2016,115,146,1,113,5,110
7/1/2016,122,149,3,121,5,120
8/1/2016,122,152,0,124,5,121
9/1/2016,117,149,1,118,5,99
10/1/2016,111,133,0,98,5,77
11/1/2016,109,117,8,90,5,66
12/1/2016,117,33,92,88,5,59
1/1/2017,108,110,22,84,5,56
2/1/2017,103,126,6,81,5,57
3/1/2017,117,130,1,79,5,56
4/1/2017,114,138,2,86,5,67
5/1/2017,117,131,11,94,5,81
6/1/2017,129,139,18,115,5,111
7/1/2017,139,160,1,116,5,121
8/1/2017,125,149,1,104,5,122
9/1/2017,124,144,0,105,5,100
10/1/2017,128,134,1,98,5,77
11/1/2017,133,124,1,78,5,66
12/1/2017,142,118,1,79,5,59
1/1/2018,126,135,1,86,5,57
2/1/2018,113,129,0,77,5,58
3/1/2018,123,128,0,76,5,57
4/1/2018,115,131,0,86,5,67
5/1/2018,105,126,15,101,5,82
6/1/2018,106,135,11,102,5,112
7/1/2018,120,157,2,121,5,122
8/1/2018,113,152,0,107,5,123
9/1/2018,111,134,13,87,5,101
10/1/2018,109,138,1,81,5,78
11/1/2018,101,127,0,72,5,67
12/1/2018,98,122,1,69,5,60
